Title,Rating,Votes,Revenue (Millions),Metascore
Guardians of the Galaxy,8.1,757074,333.13,76
Prometheus,7,485820,126.46,65
Split,7.3,157606,138.12,62
Sing,7.2,60545,270.32,59
Suicide Squad,6.2,393727,325.02,40
The Great Wall,6.1,56036,45.13,42
La La Land,8.3,258682,151.06,93
The Lost City of Z,7.1,7188,8.01,78
Passengers,7,192177,100.01,41
Fantastic Beasts and Where to Find Them,7.5,232072,234.02,66
Hidden Figures,7.8,93103,169.27,74
Rogue One,7.9,323118,532.17,65
Moana,7.7,118151,248.75,81
Colossal,6.4,8612,2.87,70
The Secret Life of Pets,6.6,120259,368.31,61
Hacksaw Ridge,8.2,211760,67.12,71
Jason Bourne,6.7,150823,162.16,58
Lion,8.1,102061,51.69,69
Arrival,8,340798,100.5,81
Gold,6.7,19053,7.22,49
Manchester by the Sea,7.9,134213,47.7,96
Trolls,6.5,38552,153.69,56
Independence Day: Resurgence,5.3,127553,103.14,32
Bad Moms,6.2,66540,113.08,60
Assassin's Creed,5.9,112813,54.65,36
Why Him?,6.3,48123,60.31,39
Nocturnal Animals,7.5,126030,10.64,67
X-Men: Apocalypse,7.1,275510,155.33,52
Deadpool,8,627797,363.02,65
Resident Evil: The Final Chapter,5.6,46165,26.84,49
Captain America: Civil War,7.9,411656,408.08,75
Interstellar,8.6,1047747,187.99,74
Doctor Strange,7.6,293732,232.6,72
The Magnificent Seven,6.9,122853,93.38,54
Sausage Party,6.3,120690,97.66,66
Moonlight,7.5,135095,27.85,99
The Founder,7.2,37033,12.79,66
Lowriders,6.3,279,4.21,57
Pirates of the Caribbean: On Stranger Tides,6.7,395025,241.06,45
Miss Sloane,7.3,17818,3.44,64
Star Trek Beyond,7.1,164567,158.8,68
Star Wars: Episode VII - The Force Awakens,8.1,661608,936.63,81
Underworld: Blood Wars,5.8,41362,30.35,23
Mother's Day,5.6,20221,32.46,18
John Wick,7.2,321933,43,68
The Dark Knight,9,1791916,533.32,82
Silence,7.3,49190,7.08,79
Don't Breathe,7.2,121103,89.21,71
Me Before You,7.4,113322,56.23,51
Their Finest,7,3739,3.18,76
Sully,7.5,137608,125.07,74
Batman v Superman: Dawn of Justice,6.7,472307,330.25,44
The Girl on the Train,6.5,102177,75.31,48
Fifty Shades of Grey,4.1,244474,166.15,46
The Prestige,8.5,913152,53.08,66
Kingsman: The Secret Service,7.7,440209,128.25,58
Patriots Day,7.4,39784,31.86,69
Mad Max: Fury Road,8.1,632842,153.63,90
Wakefield,7.5,291,0.01,61
Deepwater Horizon,7.2,89849,61.28,68
Allied,7.1,78079,40.07,60
A Monster Calls,7.5,39134,3.73,76
Collateral Beauty,6.8,43977,30.98,23
Zootopia,8.1,296853,341.26,78
Pirates of the Caribbean: At World's End,7.1,498821,309.4,50
The Avengers,8.1,1045588,623.28,69
Inglourious Basterds,8.3,959065,120.52,69
Pirates of the Caribbean: Dead Man's Chest,7.3,552027,423.03,53
Ghostbusters,5.3,147717,128.34,60
Inception,8.8,1583625,292.57,74
Captain Fantastic,7.9,105081,5.88,72
The Wolf of Wall Street,8.2,865134,116.87,75
Gone Girl,8.1,636243,167.74,79
Furious Seven,7.2,301249,350.03,67
Jurassic World,7,455169,652.18,59
Live by Night,6.4,27869,10.38,49
Avatar,7.8,935408,760.51,83
The Hateful Eight,7.8,341170,54.12,68
The Accountant,7.4,162122,86.2,51
Prisoners,8.1,431185,60.96,74
Warcraft,7,187547,47.17,32
The Help,8.1,342429,169.71,62
War Dogs,7.1,106463,43.02,57
Avengers: Age of Ultron,7.4,516895,458.99,66
The Nice Guys,7.4,175067,36.25,70
Kimi no na wa,8.6,34110,4.68,79
The Void,5.8,9247,0.15,62
Personal Shopper,6.3,10181,1.29,77
The Departed,8.5,937414,132.37,85
Legend,7,108836,1.87,55
Thor,7,570814,181.02,57
The Martian,8,556097,228.43,80
The Man from U.N.C.L.E.,7.3,202973,45.43,56
Hell or High Water,7.7,115546,26.86,88
The Comedian,5.4,1954,1.66,40
The Legend of Tarzan,6.3,117590,126.59,44
Ex Machina,7.7,339797,25.44,78
The Belko Experiment,6.3,3712,10.16,44
12 Years a Slave,8.1,486338,56.67,96
300,7.7,637104,210.59,52
Harry Potter and the Deathly Hallows: Part 2,8.1,590595,380.96,87
Office Christmas Party,5.8,30761,54.73,42
The Neon Demon,6.2,50359,1.33,51
10 Cloverfield Lane,7.2,192968,71.9,76
Finding Dory,7.4,157026,486.29,77
Miss Peregrine's Home for Peculiar Children,6.7,101058,87.24,57
Divergent,6.7,362093,150.83,48
Mike and Dave Need Wedding Dates,6,53183,46.01,51
The Dark Knight Rises,8.5,1222645,448.13,78
The Jungle Book,7.5,198243,364,77
Transformers: Age of Extinction,5.7,255483,245.43,32
Nerve,6.6,69651,38.56,58
Mamma Mia!,6.4,153481,143.7,51
The Revenant,8,499424,183.64,76
Fences,7.3,50953,57.64,79
Into the Woods,6,109756,128,69
The Shallows,6.4,78328,55.12,59
Whiplash,8.5,477276,13.09,88
Furious 6,7.1,318051,238.67,61
The Place Beyond the Pines,7.3,200090,21.38,68
